PDF,RelativePath,Status,TotalPages,PagesCreated,PagesSkipped,PagesFailed,DPI,JPEGQuality,Seconds,Error
4CIVC9HN__Plothe - 2004 - A Luxurious Visual Experience.pdf,4CIVC9HN__Plothe - 2004 - A Luxurious Visual Experience.pdf,Completed,3,3,0,0,200,90,0.6,
4CTB33HX__Cronin - 2017 - Down the Rabb(b)it Hole with Ron English.pdf,4CTB33HX__Cronin - 2017 - Down the Rabb(b)it Hole with Ron English.pdf,Completed,4,4,0,0,200,90,0.95,
4CTRCLLG__Art Street and Stories - 2017 - Ron English.pdf,4CTRCLLG__Art Street and Stories - 2017 - Ron English.pdf,Completed,99,99,0,0,200,90,17.2,
4D2QPBRY__1994 - Long Shot Vol 16.pdf,4D2QPBRY__1994 - Long Shot Vol 16.pdf,Completed,3,3,0,0,200,90,0.51,
"4E9GJIDD__Gray - 2015 - Guernica, Ron English & The Last Supper.pdf","4E9GJIDD__Gray - 2015 - Guernica, Ron English & The Last Supper.pdf",Completed,3,3,0,0,200,90,0.69,
4FDG4GIM___.pdf,4FDG4GIM___.pdf,Completed,2,2,0,0,200,90,0.67,
4FHXG833__Solomon - 2019 - Art Wynwood Can Satisfy Art Fever.pdf,4FHXG833__Solomon - 2019 - Art Wynwood Can Satisfy Art Fever.pdf,Completed,2,2,0,0,200,90,0.44,
4HBHAZHH__Ministry of Walls - 2008 - Ron English.pdf,4HBHAZHH__Ministry of Walls - 2008 - Ron English.pdf,Completed,1,1,0,0,200,90,0.23,
4IN2M6UK__Chaplin - 2003 - In Search of the Green Fairy.pdf,4IN2M6UK__Chaplin - 2003 - In Search of the Green Fairy.pdf,Completed,1,1,0,0,200,90,0.23,
4IY4ASDX__Aimful Books - 2019 - Join Legendary Street Artists.pdf,4IY4ASDX__Aimful Books - 2019 - Join Legendary Street Artists.pdf,Completed,1,1,0,0,200,90,0.28,
4J7VT238__Mural - 2018 - Interview with Ron English(3).pdf,4J7VT238__Mural - 2018 - Interview with Ron English(3).pdf,Completed,9,9,0,0,200,90,1.57,
4MT62ACF__Topper - 2020 - Ron English Showcases his Work at Pop International Galleries in Manhattan.pdf,4MT62ACF__Topper - 2020 - Ron English Showcases his Work at Pop International Galleries in Manhattan.pdf,Completed,2,2,0,0,200,90,0.52,
4NE7C8SL__Skull - 2017 - La POPaganda de Ron English(2).pdf,4NE7C8SL__Skull - 2017 - La POPaganda de Ron English(2).pdf,Completed,16,16,0,0,200,90,3.84,
4RGG66J5__Korero Press - 2008 - Ron English.pdf,4RGG66J5__Korero Press - 2008 - Ron English.pdf,Completed,1,1,0,0,200,90,0.27,
4RLG88MD__Estiler - 2020 - These Are the Best Artworks Releasing This Week(2).pdf,4RLG88MD__Estiler - 2020 - These Are the Best Artworks Releasing This Week(2).pdf,Completed,1,1,0,0,200,90,0.23,
4RYSL6IU__White Walls Gallery - 2009 - Aqua Art Miami Opens Today.pdf,4RYSL6IU__White Walls Gallery - 2009 - Aqua Art Miami Opens Today.pdf,Completed,4,4,0,0,200,90,1.19,
4SWW3G53__Levy - 2012 - Ron English “Status Faction” New Print Available Today.pdf,4SWW3G53__Levy - 2012 - Ron English “Status Faction” New Print Available Today.pdf,Completed,1,1,0,0,200,90,0.21,
4T95VBUM__Art Daily - 1992 - Tools in Motion Opens at Kresge Art Museum.pdf,4T95VBUM__Art Daily - 1992 - Tools in Motion Opens at Kresge Art Museum.pdf,Completed,1,1,0,0,200,90,0.22,
4TD3K7KA___.pdf,4TD3K7KA___.pdf,Completed,4,4,0,0,200,90,1.16,
4U5NAJVD__Art Daily - 2008 - The Elms Lesters Painting Rooms To Present The Adam and Ron.pdf,4U5NAJVD__Art Daily - 2008 - The Elms Lesters Painting Rooms To Present The Adam and Ron.pdf,Completed,2,2,0,0,200,90,0.39,
4VDVDYI9__Downtown magazine Art or Not by Susie Miles.pdf,4VDVDYI9__Downtown magazine Art or Not by Susie Miles.pdf,Completed,3,3,0,0,200,90,2.23,
4VHCNHJQ__White Walls Gallery - 2009 - Aqua Art Miami Opens Today.pdf,4VHCNHJQ__White Walls Gallery - 2009 - Aqua Art Miami Opens Today.pdf,Completed,6,6,0,0,200,90,1.53,
4VNHPCAN__ENGLISHTRANSLATIONSCATALOGUE.pdf,4VNHPCAN__ENGLISHTRANSLATIONSCATALOGUE.pdf,Completed,19,19,0,0,200,90,5.23,
4WGPIE64__1 - 2012 - Art Ron English Exhibition 10 - 20 May @ Webbs.pdf,4WGPIE64__1 - 2012 - Art Ron English Exhibition 10 - 20 May @ Webbs.pdf,Completed,2,2,0,0,200,90,0.41,
4WJU4G22__English - 2017 - Ron English 2017.pdf,4WJU4G22__English - 2017 - Ron English 2017.pdf,Completed,1,1,0,0,200,90,0.24,
4XI5MNJ9___.pdf,4XI5MNJ9___.pdf,Completed,3,3,0,0,200,90,1.16,
